ZM 1 imOhms X,ZM 1 imOhms Y
7360000000,-90.72108308035962
7370000000,-90.68961108936124
7380000000,-90.62330780948268
7390000000,-90.55720253915753
7400000000,-90.49129426863516
7410000000,-90.42558199305637
7420000000,-90.36006471397336
7430000000,-90.26020457091339
7440000000,-90.22961117827197
7450000000,-90.16467295219405
7460000000,-90.09992578327829
7470000000,-90.00110609797353
7480000000,-89.97100073824492
7490000000,-89.90682093610582
7500000000,-89.84282833923763
7510000000,-89.77902199816133
7520000000,-89.71540096837643
7530000000,-89.65196431087227
7540000000,-89.55491543666861
7550000000,-89.5256403827641
7560000000,-89.46275125985925
7570000000,-89.36644233551768
7580000000,-89.33751410472526
7590000000,-89.27516425087695
7600000000,-89.21299234028619
7610000000,-89.15099747478386
7620000000,-89.08917876109732
7630000000,-88.99431660404696
7640000000,-88.96606624102932
7650000000,-88.87167672296044
7660000000,-88.84364773239949
7670000000,-88.78269655121747
7680000000,-88.72191626516019
7690000000,-88.62845792073574
7700000000,-88.60086494596379
7710000000,-88.54059220832156
7720000000,-88.48048695666535
7730000000,-88.42054835079642
7740000000,-88.36077555445499
7750000000,-88.30116773642465
7760000000,-88.20929477415199
7770000000,-88.18244373241738
7780000000,-88.12332590660927
7790000000,-88.0643697788594
7800000000,-87.97337820309838
7810000000,-87.94693938682353
7820000000,-87.85638197009399
7830000000,-87.83014613863493
7840000000,-87.77198645709207
7850000000,-87.71398368640936
7860000000,-87.65613704413846
7870000000,-87.59844575128113
7880000000,-87.54090903429787
7890000000,-87.48352612266429
7900000000,-87.42629625100518
7910000000,-87.36921865741041
7920000000,-87.31229258463019
7930000000,-87.22404757596637
7940000000,-87.19889199158926
7950000000,-87.11105407465774
7960000000,-87.05478010507773
7970000000,-86.99865367402563
7980000000,-86.97387617795692
7990000000,-86.91798988285541
8000000000,-86.86224919449164
8010000000,-86.80665339189659
8020000000,-86.75120175736049
8030000000,-86.69589357767204
8040000000,-86.64072814284478
8050000000,-86.55486664012689
8060000000,-86.53082268837427
8070000000,-86.47608126852504
8080000000,-86.42147979317045
8090000000,-86.36701757138326
8100000000,-86.31269391619585
8110000000,-86.25850814429521
8120000000,-86.20445957622859
8130000000,-86.15054753577931
8140000000,-86.06638383823368
8150000000,-86.01279173410821
8160000000,-85.98962387576367
8170000000,-85.93625125898362
8180000000,-85.8830118443242
8190000000,-85.82990497727806
8200000000,-85.77693000680057
8210000000,-85.72408628551305
8220000000,-85.64137045820046
8230000000,-85.61879001803364
8240000000,-85.56633619433202
8250000000,-85.51401106448111
8260000000,-85.46181399843162
8270000000,-85.40974436898216
8280000000,-85.35780155252849
8290000000,-85.30598492930488
8300000000,-85.25429388206103
8310000000,-85.20272779740257
8320000000,-85.15128606476155
8330000000,-85.09996807727278
8340000000,-85.01932145751111
8350000000,-84.99770092559719
8360000000,-84.94675056338978
8370000000,-84.89592155028436
8380000000,-84.84521329523221
8390000000,-84.79462521027889
8400000000,-84.71496915785909
8410000000,-84.69380721545218
8420000000,-84.6435761450262
8430000000,-84.59346292457481
8440000000,-84.54346698178274
8450000000,-84.49358774692163
8460000000,-84.44382465396289
8470000000,-84.36528880644187
8480000000,-84.34464464333976
8490000000,-84.26642202891995
8500000000,-84.2459224792343
8510000000,-84.19673170573351
8520000000,-84.14765373873027
8530000000,-84.09868803304764
8540000000,-84.04983404584921
8550000000,-83.97253341722015
8560000000,-83.95245907018665
8570000000,-83.87545997123186
8580000000,-83.85552452809006
8590000000,-83.77882411122174
8600000000,-83.75902618079112
8610000000,-83.68262162902575
8620000000,-83.66295983438795
8630000000,-83.61508736323158
8640000000,-83.5673213394266
8650000000,-83.49150018808933
